Gene	Lenth	Location1	Location2	GC
RP11-434H6.6	564	chr3:128842282	chr3:128842846	0.48
ISY1	33878	chr3:128846258	chr3:128880136	0.45
RP11-434H6.7	334	chr3:128882449	chr3:128882783	0.40
CNBP	14438	chr3:128888327	chr3:128902765	0.42
COPG1	28165	chr3:128968449	chr3:128996614	0.48
HMCES	27358	chr3:128997671	chr3:129025029	0.45
H1FX	1505	chr3:129033615	chr3:129035120	0.69
H1FX-AS1	10833	chr3:129034235	chr3:129045068	0.58
EFCAB12	27330	chr3:129120164	chr3:129147494	0.49
MBD4	9091	chr3:129149787	chr3:129158878	0.40
IFT122	80230	chr3:129158968	chr3:129239198	0.48
RHO	6529	chr3:129247483	chr3:129254012	0.55
H1FOO	8253	chr3:129262057	chr3:129270310	0.54
PLXND1	51643	chr3:129274018	chr3:129325661	0.58
TMCC1	245784	chr3:129366635	chr3:129612419	0.39
TMCC1-AS1	24704	chr3:129612714	chr3:129637418	0.44
RP11-93K22.6	15189	chr3:129672948	chr3:129688137	0.49
TRH	3633	chr3:129693148	chr3:129696781	0.60
RP11-93K22.13	4871	chr3:129808276	chr3:129813147	0.50
RP11-77P16.4	8029	chr3:129831393	chr3:129839422	0.45
COL6A5	139329	chr3:130064359	chr3:130203688	0.39
COL6A6	117821	chr3:130279178	chr3:130396999	0.39
PIK3R4	67894	chr3:130397779	chr3:130465673	0.37
ATP2C1	166117	chr3:130569439	chr3:130735556	0.38
RP11-39E3.3	30562	chr3:130618258	chr3:130648820	0.38
ASTE1	13774	chr3:130732719	chr3:130746493	0.40
NEK11	323615	chr3:130745694	chr3:131069309	0.39
RP11-265F19.1	19022	chr3:130772161	chr3:130791183	0.39
NUDT16	7159	chr3:131100515	chr3:131107674	0.49
MRPL3	40771	chr3:131181056	chr3:131221827	0.36
RP11-517B11.4	3049	chr3:131236675	chr3:131239724	0.42
CPNE4	751855	chr3:131252399	chr3:132004254	0.39
ACPP	50931	chr3:132036211	chr3:132087142	0.40
DNAJC13	121506	chr3:132136370	chr3:132257876	0.37
ACAD11	102585	chr3:132276982	chr3:132379567	0.38
NPHP3	164317	chr3:132276986	chr3:132441303	0.37
ACKR4	21730	chr3:132316081	chr3:132337811	0.37
UBA5	23651	chr3:132373290	chr3:132396941	0.37
NPHP3-AS1	152473	chr3:132440594	chr3:132593067	0.39
RP11-469L4.1	22048	chr3:132733848	chr3:132755896	0.39
TMEM108	359401	chr3:132757235	chr3:133116636	0.40
RP11-402L6.1	11082	chr3:132964950	chr3:132976032	0.38
BFSP2	75227	chr3:133118839	chr3:133194066	0.46
BFSP2-AS1	26507	chr3:133148113	chr3:133174620	0.44
RP11-91K8.5	402	chr3:133261908	chr3:133262310	0.49
CDV3	16531	chr3:133292574	chr3:133309105	0.42
TOPBP1	63718	chr3:133317019	chr3:133380737	0.38
TF	33050	chr3:133464800	chr3:133497850	0.45
SRPRB	41739	chr3:133502877	chr3:133544616	0.41
RAB6B	71597	chr3:133543083	chr3:133614680	0.50
C3orf36	1664	chr3:133646992	chr3:133648656	0.55
SLCO2A1	119488	chr3:133651540	chr3:133771028	0.48
RP11-202A13.1	2392	chr3:133774100	chr3:133776492	0.46
RYK	185542	chr3:133784147	chr3:133969689	0.41
RP11-200A1.1	7595	chr3:134032418	chr3:134040013	0.47
RP11-375I20.6	1945	chr3:134066130	chr3:134068075	0.44
AMOTL2	19605	chr3:134074716	chr3:134094321	0.55
ANAPC13	9010	chr3:134196548	chr3:134205558	0.45
CEP63	89274	chr3:134204585	chr3:134293859	0.38
EPHB1	662666	chr3:134316643	chr3:134979309	0.45
KY	48498	chr3:134321980	chr3:134370478	0.48
PPP2R3A	182218	chr3:135684515	chr3:135866733	0.39
RP11-305O4.3	438	chr3:135806317	chr3:135806755	0.31
MSL2	48319	chr3:135867764	chr3:135916083	0.42
PCCB	87590	chr3:135969148	chr3:136056738	0.42
STAG1	416143	chr3:136055077	chr3:136471220	0.39
RP11-102M11.2	3150	chr3:136471472	chr3:136474622	0.44
SLC35G2	37245	chr3:136537489	chr3:136574734	0.41
RP11-731C17.2	1683	chr3:136556180	chr3:136557863	0.35
RP11-85F14.5	20328	chr3:136560568	chr3:136580896	0.42
NCK1	87615	chr3:136581050	chr3:136668665	0.39
IL20RB	64855	chr3:136665072	chr3:136729927	0.42
IL20RB-AS1	23071	chr3:136677967	chr3:136701038	0.41
SOX14	817	chr3:137483579	chr3:137484396	0.65
RP11-2A4.3	8929	chr3:137490791	chr3:137499720	0.39
RP11-2A4.4	4705	chr3:137510815	chr3:137515520	0.38
CLDN18	34917	chr3:137717577	chr3:137752494	0.43
RP11-461M2.2	473	chr3:137723491	chr3:137723964	0.23
DZIP1L	53828	chr3:137780832	chr3:137834660	0.46
A4GNT	8669	chr3:137842560	chr3:137851229	0.43
DBR1	13937	chr3:137879854	chr3:137893791	0.39
ARMC8	111122	chr3:137906109	chr3:138017231	0.39
NME9	68449	chr3:137980279	chr3:138048728	0.42
MRAS	57836	chr3:138066539	chr3:138124375	0.49
ESYT3	47100	chr3:138153428	chr3:138200528	0.49
CEP70	100194	chr3:138213186	chr3:138313380	0.40
FAIM	24770	chr3:138327448	chr3:138352218	0.40
PIK3CB	180920	chr3:138372860	chr3:138553780	0.41
RP11-548O1.3	8831	chr3:138654031	chr3:138662862	0.54
FOXL2	2916	chr3:138663066	chr3:138665982	0.65
C3orf72	6217	chr3:138666076	chr3:138672293	0.53
PRR23A	2306	chr3:138722804	chr3:138725110	0.51
MRPS22	351417	chr3:138724648	chr3:139076065	0.43
PRR23B	1895	chr3:138737873	chr3:138739768	0.56
PRR23C	2790	chr3:138760944	chr3:138763734	0.51
BPESC1	20982	chr3:138823027	chr3:138844009	0.45
RP11-219D15.3	347	chr3:139067866	chr3:139068213	0.32
COPB2	34132	chr3:139074442	chr3:139108574	0.38
RP11-319G6.1	193504	chr3:139108657	chr3:139302161	0.42
RBP2	27863	chr3:139171726	chr3:139199589	0.44
RP11-319G6.3	365	chr3:139185272	chr3:139185637	0.48
RBP1	22395	chr3:139236276	chr3:139258671	0.48
NMNAT3	117837	chr3:139279022	chr3:139396859	0.42
RP11-442N1.2	3944	chr3:139397462	chr3:139401406	0.42
RP11-442N1.1	939	chr3:139407245	chr3:139408184	0.42
RP11-166D18.1	22674	chr3:139556062	chr3:139578736	0.39
CLSTN2	642212	chr3:139654027	chr3:140296239	0.43
RP11-68L1.2	10916	chr3:140168277	chr3:140179193	0.46
RP11-68L1.1	1825	chr3:140179842	chr3:140181667	0.38
CLSTN2-AS1	3178	chr3:140224453	chr3:140227631	0.44
TRIM42	23111	chr3:140396881	chr3:140419992	0.42
RP11-691G17.1	2708	chr3:140583917	chr3:140586625	0.35
SLC25A36	38103	chr3:140660672	chr3:140698775	0.35
SPSB4	97209	chr3:140770244	chr3:140867453	0.47
RP11-231L11.1	9058	chr3:140833966	chr3:140843024	0.43
ACPL2	66180	chr3:140947568	chr3:141013748	0.46
RP11-438D8.2	99784	chr3:140986195	chr3:141085979	0.44
ZBTB38	125579	chr3:141043055	chr3:141168634	0.42
RASA2	128295	chr3:141205889	chr3:141334184	0.36
RP11-340E6.1	57874	chr3:141382041	chr3:141439915	0.44
RNF7	9356	chr3:141457046	chr3:141466402	0.39
GRK7	40342	chr3:141496990	chr3:141537332	0.45
ATP1B3	50390	chr3:141594966	chr3:141645356	0.41
ATP1B3-AS1	769	chr3:141637094	chr3:141637863	0.43
RP11-271K21.11	2963	chr3:141663270	chr3:141666233	0.46
TFDP2	205109	chr3:141663277	chr3:141868386	0.40
RP11-485G4.2	4451	chr3:141876369	chr3:141880820	0.40
GK5	62035	chr3:141882414	chr3:141944449	0.39
XRN1	141455	chr3:142025449	chr3:142166904	0.37
ATR	129591	chr3:142168077	chr3:142297668	0.37
PLS1	117277	chr3:142315229	chr3:142432506	0.39
PLS1-AS1	1961	chr3:142373626	chr3:142375587	0.40
TRPC1	83814	chr3:142442916	chr3:142526730	0.36
PCOLCE2	73281	chr3:142534764	chr3:142608045	0.41
RP11-372E1.4	15859	chr3:142645517	chr3:142661376	0.40
PAQR9	14172	chr3:142668006	chr3:142682178	0.41
RP11-372E1.6	38605	chr3:142681796	chr3:142720401	0.43
U2SURP	96228	chr3:142683339	chr3:142779567	0.38
RP11-91G21.1	560	chr3:142719749	chr3:142720309	0.49
RP11-80H8.3	557	chr3:142830644	chr3:142831201	0.48
CHST2	3627	chr3:142838173	chr3:142841800	0.65
RP11-80H8.4	8531	chr3:142842204	chr3:142850735	0.40
SLC9A9	583309	chr3:142984064	chr3:143567373	0.39
SLC9A9-AS1	4825	chr3:143061088	chr3:143065913	0.37
SLC9A9-AS2	823	chr3:143100180	chr3:143101003	0.41
C3orf58	76921	chr3:143690640	chr3:143767561	0.37
RP11-88H10.2	21624	chr3:145657699	chr3:145679323	0.35
RP11-88H10.3	1868	chr3:145679542	chr3:145681410	0.36
RP11-274H2.2	41162	chr3:145781829	chr3:145822991	0.35
AC107021.1	1798	chr3:145782358	chr3:145784156	0.32
RP11-274H2.3	2841	chr3:145784131	chr3:145786972	0.34
PLOD2	94213	chr3:145787227	chr3:145881440	0.36
PLSCR4	58840	chr3:145910126	chr3:145968966	0.36
PLSCR2	104570	chr3:146109208	chr3:146213778	0.37
PLSCR1	29684	chr3:146232967	chr3:146262651	0.36
PLSCR5	29661	chr3:146294342	chr3:146324003	0.33
PLSCR5-AS1	723	chr3:146307389	chr3:146308112	0.31
RP11-649A16.1	460971	chr3:146627472	chr3:147088443	0.35
RP11-232M24.1	3295	chr3:146639710	chr3:146643005	0.35
ZIC4	20814	chr3:147103833	chr3:147124647	0.50
ZIC4-AS1	486	chr3:147104754	chr3:147105240	0.44
ZIC1	116871	chr3:147111209	chr3:147228080	0.39
RP11-78O22.1	2534	chr3:147561910	chr3:147564444	0.31
RP11-71N10.1	66751	chr3:147657791	chr3:147724542	0.35
RP11-639B1.1	9870	chr3:147795946	chr3:147805816	0.33
RP11-501O2.1	34058	chr3:147810962	chr3:147845020	0.33
RP11-501O2.3	65695	chr3:147878698	chr3:147944393	0.35
RP11-501O2.4	84369	chr3:147913516	chr3:147997885	0.37
RP11-501O2.5	119065	chr3:147998678	chr3:148117743	0.35
AGTR1	45224	chr3:148415571	chr3:148460795	0.37
CPB1	69085	chr3:148508889	chr3:148577974	0.38
RP11-680B3.2	109179	chr3:148568720	chr3:148677899	0.38
CPA3	31940	chr3:148583043	chr3:148614983	0.37
GYG1	36291	chr3:148709128	chr3:148745419	0.42
HLTF	56427	chr3:148747914	chr3:148804341	0.36
HLTF-AS1	16491	chr3:148804119	chr3:148820610	0.44
HPS3	44148	chr3:148847371	chr3:148891519	0.39
CP	59645	chr3:148880197	chr3:148939842	0.37
RP11-206M11.7	48871	chr3:149002569	chr3:149051440	0.40
TM4SF18	15916	chr3:149036285	chr3:149052201	0.38
TM4SF1	8843	chr3:149086809	chr3:149095652	0.38
TM4SF1-AS1	8805	chr3:149095565	chr3:149104370	0.48
RP11-278L15.2	1621	chr3:149101966	chr3:149103587	0.44
TM4SF4	29307	chr3:149191761	chr3:149221068	0.42
WWTR1	219479	chr3:149235022	chr3:149454501	0.41
WWTR1-AS1	4344	chr3:149374807	chr3:149379151	0.53
COMMD2	14029	chr3:149456257	chr3:149470286	0.38
ANKUB1	207280	chr3:149478892	chr3:149686172	0.37
RNF13	149431	chr3:149530495	chr3:149679926	0.36
PFN2	85884	chr3:149682691	chr3:149768575	0.40
AC117395.1	1469	chr3:149689066	chr3:149690535	0.47
RP11-651P23.5	2600	chr3:149694542	chr3:149697142	0.38
RP11-167H9.4	174512	chr3:149757001	chr3:149931513	0.40
snoU13	2623	chr3:149795281	chr3:149797904	0.44
RP11-167H9.5	23016	chr3:149919961	chr3:149942977	0.44
RP11-167H9.6	1690	chr3:149956306	chr3:149957996	0.40
RP11-483E7.1	21961	chr3:149983199	chr3:150005160	0.38
TSC22D2	58096	chr3:150126122	chr3:150184218	0.37
SERP1	61234	chr3:150259781	chr3:150321015	0.39
EIF2A	37564	chr3:150264465	chr3:150302029	0.38
SELT	27560	chr3:150320662	chr3:150348222	0.38
FAM194A	44086	chr3:150377672	chr3:150421758	0.39
RP11-103G8.2	16582	chr3:150421351	chr3:150437933	0.43
SIAH2	22350	chr3:150458914	chr3:150481264	0.45
SIAH2-AS1	601	chr3:150479724	chr3:150480325	0.57
CLRN1-AS1	228242	chr3:150570271	chr3:150798513	0.41
FAM188B2	23257	chr3:150588832	chr3:150612089	0.42
RP11-166N6.3	58746	chr3:150600784	chr3:150659530	0.42
RP11-166N6.2	148182	chr3:150608423	chr3:150756605	0.41
RP11-373I8.1	2240	chr3:150618941	chr3:150621181	0.46
CLRN1	46836	chr3:150643950	chr3:150690786	0.40
MED12L	351376	chr3:150803484	chr3:151154860	0.39
GPR171	5369	chr3:150915619	chr3:150920988	0.37
P2RY14	66350	chr3:150929905	chr3:150996255	0.39
GPR87	22849	chr3:151011891	chr3:151034740	0.40
P2RY13	3236	chr3:151044100	chr3:151047336	0.37
P2RY12	47432	chr3:151055168	chr3:151102600	0.36
IGSF10	33325	chr3:151143172	chr3:151176497	0.40
RP11-454C18.1	20792	chr3:151354962	chr3:151375754	0.37
AADACL2	27423	chr3:151451704	chr3:151479127	0.35
RP11-454C18.2	176732	chr3:151469231	chr3:151645963	0.37
RP11-64D22.5	10765	chr3:151515272	chr3:151526037	0.39
AADAC	14451	chr3:151531825	chr3:151546276	0.35
SUCNR1	10974	chr3:151591431	chr3:151602405	0.33
RP11-246A10.1	33551	chr3:151835962	chr3:151869513	0.37
MBNL1	221952	chr3:151961617	chr3:152183569	0.36
MBNL1-AS1	6939	chr3:151980405	chr3:151987344	0.42
TMEM14E	1295	chr3:152057484	chr3:152058779	0.40
RP11-362A9.3	39054	chr3:152175548	chr3:152214602	0.36
RP11-788A4.1	2301	chr3:152365935	chr3:152368236	0.35
P2RY1	3105	chr3:152552736	chr3:152555841	0.50
RP11-38P22.2	2049	chr3:152557179	chr3:152559228	0.32
RP11-529G21.2	5264	chr3:152874300	chr3:152879564	0.45
RAP2B	6236	chr3:152880029	chr3:152886265	0.42
RP11-292E2.1	17079	chr3:153074896	chr3:153091975	0.40
RP11-292E2.2	731	chr3:153094620	chr3:153095351	0.40
RP11-292E2.4	11675	chr3:153149645	chr3:153161320	0.38
C3orf79	18202	chr3:153202284	chr3:153220486	0.36
RP11-217E22.5	59310	chr3:153599315	chr3:153658625	0.37
ARHGEF26	136824	chr3:153838792	chr3:153975616	0.39
DHX36	51951	chr3:153990335	chr3:154042286	0.35
GPR149	92043	chr3:154055461	chr3:154147504	0.37
RP11-656A15.1	27774	chr3:154229324	chr3:154257098	0.35
RP11-439C8.1	34001	chr3:154544805	chr3:154578806	0.36
RP11-439C8.2	940	chr3:154687072	chr3:154688012	0.37
MME	159584	chr3:154741913	chr3:154901497	0.38
MME-AS1	24544	chr3:154876530	chr3:154901074	0.36
RP11-451G4.1	2199	chr3:154958734	chr3:154960933	0.37
RP11-451G4.2	3546	chr3:155008018	chr3:155011564	0.32
RP11-451G4.3	2988	chr3:155008977	chr3:155011965	0.33
PLCH1	369487	chr3:155093369	chr3:155462856	0.40
PLCH1-AS1	8569	chr3:155166973	chr3:155175542	0.39
PLCH1-AS2	1318	chr3:155203592	chr3:155204910	0.43
AC104472.1	1582	chr3:155459933	chr3:155461515	0.40
C3orf33	43739	chr3:155480401	chr3:155524140	0.41
SLC33A1	33405	chr3:155538813	chr3:155572218	0.40
GMPS	73490	chr3:155588325	chr3:155661815	0.39
KCNAB1	501055	chr3:155755490	chr3:156256545	0.40
KCNAB1-AS2	12323	chr3:155933349	chr3:155945672	0.41
KCNAB1-AS1	5748	chr3:156158946	chr3:156164694	0.41
RP11-305K5.1	507	chr3:156241529	chr3:156242036	0.38
SSR3	15044	chr3:156257929	chr3:156272973	0.39
TIPARP-AS1	2516	chr3:156389651	chr3:156392167	0.44
TIPARP	33535	chr3:156391024	chr3:156424559	0.38
LINC00886	69716	chr3:156465135	chr3:156534851	0.40
LEKR1	220648	chr3:156543270	chr3:156763918	0.36
LINC00880	41337	chr3:156799456	chr3:156840793	0.45
RP11-6F2.5	6706	chr3:156799630	chr3:156806336	0.45
LINC00881	11254	chr3:156807670	chr3:156818924	0.45
CCNL1	14252	chr3:156864297	chr3:156878549	0.37
RP11-555M1.3	5681	chr3:156881241	chr3:156886922	0.43
VEPH1	273877	chr3:156977531	chr3:157251408	0.38
PTX3	6839	chr3:157154578	chr3:157161417	0.43
C3orf55	134503	chr3:157261035	chr3:157395538	0.40
RP11-290K4.1	1575	chr3:157694350	chr3:157695925	0.40
RP11-290K4.2	72781	chr3:157734005	chr3:157806786	0.37
SHOX2	9344	chr3:157814948	chr3:157824292	0.48
RSRC1	439875	chr3:157823644	chr3:158263519	0.35
RP11-538P18.2	25846	chr3:158263009	chr3:158288855	0.40
MLF1	36089	chr3:158288952	chr3:158325041	0.38
GFM1	48297	chr3:158362067	chr3:158410364	0.37
LXN	26871	chr3:158363611	chr3:158390482	0.37
RP11-379F4.7	648	chr3:158410909	chr3:158411557	0.34
RP11-379F4.6	214	chr3:158413156	chr3:158413370	0.27
RARRES1	35804	chr3:158414681	chr3:158450485	0.44
MFSD1	97521	chr3:158449987	chr3:158547508	0.41
RP11-379F4.4	51807	chr3:158450052	chr3:158501859	0.43
RP11-379F4.9	678	chr3:158519046	chr3:158519724	0.52
IQCJ-SCHIP1	935131	chr3:158680024	chr3:159615155	0.39
IQCJ	303379	chr3:158680717	chr3:158984096	0.39
IQCJ-SCHIP1-AS1	3225	chr3:159483176	chr3:159486401	0.42
SCHIP1	57499	chr3:159557650	chr3:159615149	0.40
IL12A-AS1	311897	chr3:159631189	chr3:159943086	0.43
IL12A	7269	chr3:159706537	chr3:159713806	0.43
LINC01100	15399	chr3:159733811	chr3:159749210	0.45
C3orf80	2576	chr3:159943423	chr3:159945999	0.51
RP11-431I8.1	1571	chr3:159944270	chr3:159945841	0.41
RP11-432B6.3	222376	chr3:159945241	chr3:160167617	0.37
IFT80	142894	chr3:159974774	chr3:160117668	0.37
SMC4	35688	chr3:160117062	chr3:160152750	0.36
TRIM59	53328	chr3:160150233	chr3:160203561	0.42
KPNA4	70593	chr3:160212783	chr3:160283376	0.37
ARL14	1285	chr3:160394948	chr3:160396233	0.39
RP11-16N11.2	1714	chr3:160471216	chr3:160472930	0.46
PPM1L	323305	chr3:160473390	chr3:160796695	0.38
B3GALNT1	21501	chr3:160801671	chr3:160823172	0.40
NMD3	148836	chr3:160822484	chr3:160971320	0.38
SPTSSB	28088	chr3:161062580	chr3:161090668	0.38
RP11-3P17.4	21815	chr3:161144215	chr3:161166030	0.39
RP11-3P17.5	501	chr3:161146900	chr3:161147401	0.50
OTOL1	7134	chr3:161214596	chr3:161221730	0.39
RP11-774I5.1	4999	chr3:161534697	chr3:161539696	0.38
RP11-10O22.1	205753	chr3:162744184	chr3:162949937	0.34
CT64	233640	chr3:162845711	chr3:163079351	0.34
RP11-418B12.1	4298	chr3:163192855	chr3:163197153	0.29
RP11-71H9.2	15198	chr3:164388666	chr3:164403864	0.33
RP11-71H9.1	117385	chr3:164431883	chr3:164549268	0.35
SI	99597	chr3:164696686	chr3:164796283	0.31
RP11-747D18.1	8056	chr3:164867794	chr3:164875850	0.36
SLITRK3	10389	chr3:164904508	chr3:164914897	0.46
RP11-85M11.2	448463	chr3:164924748	chr3:165373211	0.35
BCHE	64568	chr3:165490692	chr3:165555260	0.32
RP11-450H5.1	1070	chr3:166287481	chr3:166288551	0.30
RP11-12K11.2	9935	chr3:166552809	chr3:166562744	0.37
ZBBX	141059	chr3:166958075	chr3:167099134	0.36
RP11-576M8.2	15723	chr3:167110584	chr3:167126307	0.35
SERPINI2	37215	chr3:167159577	chr3:167196792	0.35
WDR49	175299	chr3:167196472	chr3:167371771	0.37
PDCD10	51641	chr3:167401086	chr3:167452727	0.36
SERPINI1	90325	chr3:167453031	chr3:167543356	0.37
RP11-298O21.6	12144	chr3:167582561	chr3:167594705	0.35
RP11-298O21.7	1765	chr3:167582637	chr3:167584402	0.31
RP11-298O21.3	4477	chr3:167584288	chr3:167588765	0.34
RP11-298O21.2	16747	chr3:167584423	chr3:167601170	0.35
RP11-298O21.5	28063	chr3:167613736	chr3:167641799	0.35
GOLIM4	87298	chr3:167726465	chr3:167813763	0.38
RP11-637O11.2	2675	chr3:168006341	chr3:168009016	0.37
RP11-368I23.2	18630	chr3:168621154	chr3:168639784	0.35
RP11-368I23.3	444	chr3:168645263	chr3:168645707	0.36
RP11-368I23.4	429	chr3:168645957	chr3:168646386	0.30
RP11-152C17.1	2392	chr3:168720862	chr3:168723254	0.37
MECOM	580119	chr3:168801287	chr3:169381406	0.37
RP11-641D5.2	29185	chr3:169165655	chr3:169194840	0.37
TERC	540	chr3:169482308	chr3:169482848	0.67
ACTRT3	2974	chr3:169484709	chr3:169487683	0.49
RP11-816J6.3	2394	chr3:169487437	chr3:169489831	0.21
MYNN	16885	chr3:169490619	chr3:169507504	0.37
RP11-362K14.5	3142	chr3:169494980	chr3:169498122	0.39
LRRC34	19558	chr3:169511216	chr3:169530774	0.39
RP11-362K14.7	471	chr3:169511283	chr3:169511754	0.29
RP11-362K14.6	1251	chr3:169512750	chr3:169514001	0.30
LRRIQ4	15853	chr3:169539710	chr3:169555563	0.42
LRRC31	30751	chr3:169556967	chr3:169587718	0.42
SAMD7	27603	chr3:169629360	chr3:169656963	0.42
RP11-379K17.4	27381	chr3:169657141	chr3:169684522	0.40
SEC62	31738	chr3:169684423	chr3:169716161	0.37
SEC62-AS1	7179	chr3:169696324	chr3:169703503	0.36
GPR160	47474	chr3:169755717	chr3:169803191	0.42
PHC3	95017	chr3:169804520	chr3:169899537	0.38
RP11-379K17.12	1780	chr3:169805598	chr3:169807378	0.34
PRKCI	83616	chr3:169940153	chr3:170023769	0.40
RP11-543D10.2	8283	chr3:170063466	chr3:170071749	0.42
SKIL	39157	chr3:170075466	chr3:170114623	0.40
RP11-469J4.3	8103	chr3:170128300	chr3:170136403	0.43
CLDN11	441516	chr3:170136653	chr3:170578169	0.42
SLC7A14	126491	chr3:170177372	chr3:170303863	0.42
RP11-373E16.4	1014	chr3:170458140	chr3:170459154	0.47
RPL22L1	5608	chr3:170582664	chr3:170588272	0.40
EIF5A2	20278	chr3:170606204	chr3:170626482	0.38
SLC2A2	30402	chr3:170714137	chr3:170744539	0.37
TNIK	399069	chr3:170779128	chr3:171178197	0.40
RP11-185E8.1	1549	chr3:171185873	chr3:171187422	0.41
PLD1	210545	chr3:171318195	chr3:171528740	0.39
PP13439	18134	chr3:171509580	chr3:171527714	0.42
TMEM212	95366	chr3:171561139	chr3:171656505	0.39
TMEM212-AS1	24388	chr3:171594142	chr3:171618530	0.39
FNDC3B	362037	chr3:171757418	chr3:172119455	0.40
AC092964.2	248	chr3:172019438	chr3:172019686	0.47
AC092964.1	5295	chr3:172034218	chr3:172039513	0.43
GHSR	3323	chr3:172162923	chr3:172166246	0.45
TNFSF10	17999	chr3:172223298	chr3:172241297	0.41
RP11-408H1.3	34719	chr3:172278678	chr3:172313397	0.41
NCEH1	80969	chr3:172348039	chr3:172429008	0.42
AC007919.2	257	chr3:172361483	chr3:172361740	0.53
ECT2	70792	chr3:172468472	chr3:172539264	0.35
SPATA16	251910	chr3:172607148	chr3:172859058	0.37
RP11-324C10.1	183228	chr3:172871527	chr3:173054755	0.37
NLGN1	890360	chr3:173114074	chr3:174004434	0.35
NLGN1-AS1	10298	chr3:173628288	chr3:173638586	0.35
NAALADL2	1367065	chr3:174156363	chr3:175523428	0.35
NAALADL2-AS2	36234	chr3:174952651	chr3:174988885	0.34
NAALADL2-AS1	3188	chr3:175490933	chr3:175494121	0.33
RP11-523G9.3	788	chr3:175527552	chr3:175528340	0.28
RP11-809F4.3	2108	chr3:175656717	chr3:175658825	0.38
RP11-71G7.1	31389	chr3:176321931	chr3:176353320	0.37
RP11-644C3.1	223897	chr3:176361729	chr3:176585626	0.38
RP11-255G21.1	2846	chr3:176531943	chr3:176534789	0.39
TBL1XR1	178118	chr3:176737143	chr3:176915261	0.38
TBL1XR1-AS1	3062	chr3:176762649	chr3:176765711	0.36
LINC00501	28976	chr3:177012230	chr3:177041206	0.42
RP11-706D8.3	11538	chr3:177055416	chr3:177066954	0.41
LINC00578	310384	chr3:177159709	chr3:177470093	0.40
RP11-114M1.2	6905	chr3:177339170	chr3:177346075	0.38
RP11-114M1.1	7623	chr3:177401415	chr3:177409038	0.40
RP11-91K9.1	82359	chr3:177534653	chr3:177617012	0.39
RP11-2L8.1	2839	chr3:177652611	chr3:177655450	0.33
RP11-2L8.2	5732	chr3:177671854	chr3:177677586	0.37
RP11-33A14.1	183367	chr3:177919838	chr3:178103205	0.37
KCNMB2	571497	chr3:177990720	chr3:178562217	0.38
RP11-385J1.2	333900	chr3:178244293	chr3:178578193	0.38
ZMAT3	55056	chr3:178735011	chr3:178790067	0.41
RP11-360P21.2	46607	chr3:178819154	chr3:178865761	0.40
PIK3CA	91979	chr3:178865902	chr3:178957881	0.36
RP11-245C23.3	684	chr3:178954479	chr3:178955163	0.29
KCNMB3	27260	chr3:178957530	chr3:178984790	0.42
ZNF639	12544	chr3:179040779	chr3:179053323	0.41
RP11-255C15.4	461	chr3:179055910	chr3:179056371	0.31
RP11-255C15.3	1565	chr3:179058110	chr3:179059675	0.35
MFN1	47239	chr3:179065480	chr3:179112719	0.39
RP11-145M9.4	2088	chr3:179113877	chr3:179115965	0.36
AC007620.3	2230	chr3:179114749	chr3:179116979	0.38
GNB4	52388	chr3:179116990	chr3:179169378	0.39
RP11-145M9.5	496	chr3:179123236	chr3:179123732	0.34
ACTL6A	25528	chr3:179280668	chr3:179306196	0.39
RP11-15L13.4	500	chr3:179301050	chr3:179301550	0.34
RP11-145M9.6	139	chr3:179302059	chr3:179302198	0.40
MRPL47	16369	chr3:179306073	chr3:179322442	0.39
NDUFB5	22957	chr3:179322478	chr3:179345435	0.40
USP13	136646	chr3:179370543	chr3:179507189	0.43
PEX5L	242095	chr3:179512746	chr3:179754841	0.38
RP11-494H4.3	303	chr3:179521851	chr3:179522154	0.38
PEX5L-AS1	6233	chr3:179593164	chr3:179599397	0.39
PEX5L-AS2	23666	chr3:179616017	chr3:179639683	0.37
RP11-420J11.2	8332	chr3:180131962	chr3:180140294	0.34
RP11-496B10.3	35217	chr3:180284506	chr3:180319723	0.39
TTC14	15698	chr3:180319918	chr3:180335616	0.35
CCDC39	268147	chr3:180320646	chr3:180588793	0.37
CCDC39-AS1	20365	chr3:180397872	chr3:180418237	0.37
FXR1	114612	chr3:180585929	chr3:180700541	0.39
DNAJC19	6065	chr3:180701497	chr3:180707562	0.39
RP11-275H4.1	21428	chr3:181138846	chr3:181160274	0.37
RP11-4B14.3	1704	chr3:181251965	chr3:181253669	0.38
SOX2	2507	chr3:181429714	chr3:181432221	0.51
RP11-416O18.1	58335	chr3:181670131	chr3:181728466	0.39
RP11-416O18.2	20253	chr3:181839672	chr3:181859925	0.38
RP11-338L18.1	3109	chr3:182082935	chr3:182086044	0.36
RP11-139K4.1	39394	chr3:182164758	chr3:182204152	0.38
RP11-139K4.2	8860	chr3:182216052	chr3:182224912	0.38
RP11-646E18.2	11666	chr3:182362002	chr3:182373668	0.37
RP11-646E18.4	1179	chr3:182457457	chr3:182458636	0.46
RP11-225N10.1	10158	chr3:182501024	chr3:182511182	0.41
ATP11B	128135	chr3:182511288	chr3:182639423	0.36
RP11-531F16.4	698	chr3:182639028	chr3:182639726	0.31
DCUN1D1	47879	chr3:182655862	chr3:182703741	0.40
MCCC1	100857	chr3:182733006	chr3:182833863	0.42
